# go-pptx PERF-01 raw benchmark log
# timestamp: 2026-09-12T00:14:59Z
# go-version: go version go1.27.0 windows/amd64
# count: 10
# benchtime: default
# timeout: 30m
# bench: BenchmarkPerf
goos: windows
goarch: amd64
pkg: github.com/F31/go-pptx
cpu: Intel(R) Core(TM) Ultra 9 275HX
BenchmarkPerfTraverse/100p-media-24   	     109	  12044816 ns/op	2951.17 MB/s	  35546299 pkg-bytes	22641976 B/op	  193369 allocs/op
BenchmarkPerfTraverse/100p-media-24   	     100	  10998106 ns/op	3232.04 MB/s	  35546299 pkg-bytes	22648546 B/op	  193394 allocs/op
BenchmarkPerfTraverse/100p-media-24   	     110	  11622606 ns/op	3058.38 MB/s	  35546299 pkg-bytes	22643365 B/op	  193367 allocs/op
BenchmarkPerfTraverse/100p-media-24   	     102	  11552680 ns/op	3076.89 MB/s	  35546299 pkg-bytes	22646215 B/op	  193388 allocs/op
BenchmarkPerfTraverse/100p-media-24   	     102	  12015982 ns/op	2958.25 MB/s	  35546299 pkg-bytes	22642267 B/op	  193388 allocs/op
BenchmarkPerfTraverse/100p-media-24   	      99	  11705610 ns/op	3036.69 MB/s	  35546299 pkg-bytes	22648361 B/op	  193397 allocs/op
BenchmarkPerfTraverse/100p-media-24   	      97	  11146219 ns/op	3189.09 MB/s	  35546299 pkg-bytes	22649490 B/op	  193404 allocs/op
BenchmarkPerfReplace/10p-text-24      	   76395	     15955 ns/op	 906.55 MB/s	     14464 pkg-bytes	   40344 B/op	     257 allocs/op
BenchmarkPerfReplace/10p-text-24      	   71023	     16129 ns/op	 896.76 MB/s	     14464 pkg-bytes	   40344 B/op	     257 allocs/op
BenchmarkPerfReplace/10p-text-24      	   74677	     17366 ns/op	 832.87 MB/s	     14464 pkg-bytes	   40344 B/op	     257 allocs/op
BenchmarkPerfReplace/10p-text-24      	   77008	     17059 ns/op	 847.88 MB/s	     14464 pkg-bytes	   40344 B/op	     257 allocs/op
